        Thu Oct 12 21:04:13 2023
==================START==================

=======PARAMS:
K = 5	 1/(2^K) = 0.0312

i	state1	out	state2	filteredInput
72	92400	2888	89512	90
73	92715	2897	89818	90
74	93021	2907	90114	90
75	93317	2916	90401	91
76	93604	2925	90679	91
77	93882	2934	90948	91
78	94151	2942	91209	91
79	94412	2950	91462	92
80	94665	2958	91707	92
81	94910	2966	91944	92
82	95147	2973	92174	92
83	95377	2981	92396	93
84	95599	2987	92612	93
85	95815	2994	92821	93
86	96024	3001	93023	93
87	96226	3007	93219	93
88	96422	3013	93409	94
89	96612	3019	93593	94
90	96796	3025	93771	94
91	96974	3030	93944	94
92	97147	3036	94111	94
93	97314	3041	94273	95
94	97476	3046	94430	95
95	97633	3051	94582	95
96	97785	3056	94729	95
97	97932	3060	94872	95
98	98075	3065	95010	95
99	98213	3069	95144	95
100	98347	3073	95274	96
101	98477	3077	95400	96
102	98603	3081	95522	96
103	98725	3085	95640	96
104	98843	3089	95754	96
105	98957	3092	95865	96
106	99068	3096	95972	96
107	99175	3099	96076	96
108	99279	3102	96177	96
109	99380	3106	96274	97
110	99477	3109	96368	97
111	99571	3112	96459	97
112	99662	3114	96548	97
113	99751	3117	96634	97
114	99837	3120	96717	97
115	99920	3123	96797	97
116	100000	3125	96875	97
117	100078	3127	96951	97
118	100154	3130	97024	97
119	100227	3132	97095	97
120	100298	3134	97164	97
121	100367	3136	97231	98
122	100434	3139	97295	98
123	100498	3141	97357	98
124	100560	3143	97417	98
125	100620	3144	97476	98
126	100679	3146	97533	98
127	100736	3148	97588	98
128	100791	3150	97641	98
129	100844	3151	97693	98
130	100896	3153	97743	98
131	100946	3155	97791	98
132	100994	3156	97838	98
133	101041	3158	97883	98
134	101086	3159	97927	98
135	101130	3160	97970	98
136	101173	3162	98011	98
137	101214	3163	98051	98
138	101254	3164	98090	98
139	101293	3165	98128	98
140	101331	3167	98164	98
141	101367	3168	98199	99
142	101402	3169	98233	99
143	101436	3170	98266	99
144	101469	3171	98298	99
145	101501	3172	98329	99
146	101532	3173	98359	99
147	101562	3174	98388	99
148	101591	3175	98416	99
149	101619	3176	98443	99
150	101646	3176	98470	99
151	101673	3177	98496	99
152	101699	3178	98521	99
153	101724	3179	98545	99
154	101748	3180	98568	99
155	101771	3180	98591	99
156	101794	3181	98613	99
157	101816	3182	98634	99
158	101837	3182	98655	99
159	101858	3183	98675	99
160	101878	3184	98694	99
161	101897	3184	98713	99
162	101916	3185	98731	99
163	101934	3185	98749	99
164	101952	3186	98766	99
165	101969	3187	98782	99
166	101985	3187	98798	99
167	102001	3188	98813	99
168	102016	3188	98828	99
169	102031	3188	98843	99
170	102046	3189	98857	99
171	102060	3189	98871	99
172	102074	3190	98884	99
173	102087	3190	98897	99
174	102100	3191	98909	99
175	102112	3191	98921	99
176	102124	3191	98933	99
177	102136	3192	98944	99
178	102147	3192	98955	99
179	102158	3192	98966	99
180	102169	3193	98976	99
181	102179	3193	98986	99
182	102189	3193	98996	99
183	102199	3194	99005	99
184	102208	3194	99014	99
185	102217	3194	99023	99
186	102226	3195	99031	99
187	102234	3195	99039	99
188	102242	3195	99047	99
189	102250	3195	99055	99
190	102258	3196	99062	99
191	102265	3196	99069	99
192	102272	3196	99076	99
193	102279	3196	99083	99
194	102286	3196	99090	99
195	102293	3197	99096	99
196	102299	3197	99102	99
197	102305	3197	99108	99
198	102311	3197	99114	99
199	102317	3197	99120	99
===================END===================




